i_animal_type,i_weight_kg,i_age_years,i_previous_antibiotic_use,i_symptom_duration_days,i_temperature_c,i_severity_score,o_prescribed_dose_mg,o_treatment_duration_days,o_expected_recovery_days
dog,0.9,1.8,0,6,38.0,2.3,30.0,4.0,4.0
dog,5.7,5.4,0,2,37.6,7.3,93.5,8.0,6.0
cat,3.0,9.0,1,5,38.6,6.8,84.0,8.0,9.0
dog,2.7,5.0,1,6,39.3,8.0,87.0,10.0,10.0
cat,6.5,4.6,0,4,37.8,9.4,112.0,11.0,7.0
cat,10.2,4.3,0,14,38.5,7.2,138.0,12.0,7.0
cat,8.8,4.6,1,13,39.5,2.4,120.0,7.0,6.0
cat,1.3,7.7,0,3,37.4,3.2,30.0,4.0,4.0
cat,3.0,0.6,1,7,38.7,8.6,93.0,11.0,7.0
cat,8.8,8.1,1,2,38.1,2.9,122.5,4.0,5.0
cat,3.1,2.2,0,13,38.6,1.7,39.5,6.0,4.0
dog,5.3,4.5,1,11,39.0,7.3,109.5,11.0,8.0
cat,7.7,4.1,0,14,38.7,4.6,100.0,9.0,6.0
cat,3.1,6.2,0,6,37.8,9.3,77.5,11.0,8.0
dog,6.3,1.8,0,13,38.1,6.9,97.5,11.0,5.0
dog,2.0,5.9,0,4,39.5,1.8,30.0,3.0,6.0
dog,4.2,9.0,0,6,38.7,9.5,89.5,12.0,12.0
cat,7.0,2.3,0,4,39.1,3.3,86.5,5.0,5.0
dog,1.2,5.4,1,4,38.7,4.0,52.0,5.0,6.0
cat,7.3,3.7,1,4,39.1,4.6,116.0,6.0,6.0
cat,5.9,5.9,1,9,38.2,1.5,86.5,4.0,4.0
cat,7.7,5.0,1,7,38.0,5.5,124.5,8.0,5.0
cat,6.7,3.7,0,3,39.0,2.1,77.5,3.0,4.0
dog,10.1,6.0,1,3,39.3,4.6,144.0,6.0,8.0
dog,6.4,8.6,1,6,37.9,4.2,105.0,6.0,6.0
cat,4.7,4.6,1,6,38.1,8.0,107.0,10.0,7.0
cat,6.4,6.4,0,4,38.4,8.2,105.0,10.0,9.0
cat,7.6,2.4,1,9,39.6,2.4,108.0,5.0,5.0
dog,6.1,3.1,0,4,38.9,4.3,82.5,6.0,5.0
cat,6.1,5.9,1,9,37.6,4.4,103.0,7.0,4.0
cat,3.9,8.0,0,4,38.4,2.4,51.0,4.0,5.0
dog,4.0,5.7,0,2,38.3,8.2,81.0,9.0,8.0
dog,1.8,4.4,1,2,37.7,7.4,75.0,8.0,6.0
cat,11.2,5.0,0,5,38.4,2.7,125.5,4.0,4.0
dog,2.3,2.5,0,4,38.3,4.3,44.5,6.0,4.0
dog,3.9,6.2,1,7,38.2,2.0,69.0,4.0,4.0
cat,3.8,6.8,1,14,38.2,6.7,91.5,11.0,7.0
dog,8.7,4.1,1,11,39.5,2.1,117.5,6.0,6.0
cat,5.1,4.1,0,5,38.2,9.9,100.5,12.0,8.0
dog,9.7,5.5,0,6,38.5,8.0,137.0,10.0,8.0
cat,4.0,4.1,0,10,38.5,4.5,62.5,8.0,5.0
cat,6.8,4.9,1,4,38.1,6.2,119.0,8.0,6.0
cat,3.5,9.2,0,13,38.6,9.2,81.0,14.0,11.0
dog,12.4,4.5,0,12,38.5,6.0,154.0,10.0,6.0
cat,2.4,4.3,0,2,38.6,2.6,37.0,3.0,4.0
dog,6.9,3.7,0,13,37.9,4.4,91.0,9.0,4.0
cat,7.9,6.5,0,10,38.4,8.6,122.0,12.0,9.0
cat,7.2,4.6,0,9,39.0,6.8,106.0,10.0,8.0
dog,5.4,3.7,0,10,38.4,6.9,88.5,10.0,6.0
cat,5.6,7.6,1,7,38.6,8.8,120.0,11.0,10.0
cat,6.1,7.8,1,4,38.6,9.0,126.0,10.0,10.0
dog,5.6,3.8,1,3,38.8,9.3,122.5,10.0,9.0
cat,8.9,1.3,0,10,38.9,1.9,98.5,5.0,4.0
cat,12.6,7.0,0,14,38.4,5.9,155.5,11.0,7.0
cat,4.3,3.6,1,3,37.9,7.7,101.5,9.0,6.0
cat,1.9,6.6,0,9,37.6,7.8,58.0,11.0,7.0
dog,5.7,1.1,1,5,39.2,6.5,109.5,8.0,7.0
dog,13.7,6.8,0,13,39.0,2.5,149.5,7.0,6.0
cat,3.6,2.6,0,3,39.0,8.2,77.0,9.0,8.0
dog,10.9,6.5,1,5,39.1,7.5,166.5,9.0,10.0
cat,11.0,5.0,1,2,38.4,1.8,139.0,3.0,4.0
dog,4.3,3.1,1,11,38.1,5.2,89.0,9.0,4.0
cat,7.7,4.2,1,4,37.8,2.6,110.0,4.0,4.0
cat,10.9,6.4,1,10,37.7,4.0,149.0,7.0,4.0
cat,4.9,5.2,0,2,39.3,1.2,55.0,3.0,5.0
cat,5.4,6.2,0,2,38.2,4.6,77.0,5.0,6.0
cat,4.3,9.0,0,12,39.2,5.9,72.5,10.0,10.0
cat,3.0,1.9,1,8,38.4,6.6,83.0,9.0,5.0
dog,4.1,8.2,1,1,38.0,7.0,96.0,7.0,8.0
cat,2.3,5.2,1,14,37.7,8.5,85.5,13.0,7.0
dog,6.1,3.2,1,7,38.1,2.9,95.5,5.0,4.0
cat,3.7,2.3,1,5,39.5,2.1,67.5,4.0,5.0
dog,6.7,4.6,1,11,37.7,8.7,130.5,12.0,7.0
dog,1.3,6.8,0,8,40.0,2.4,30.0,5.0,8.0
dog,7.0,4.7,0,1,37.9,9.8,119.0,10.0,8.0
cat,8.5,8.0,0,11,39.0,8.6,128.0,12.0,11.0
cat,0.0,2.1,0,7,38.4,5.5,30.0,8.0,5.0
dog,7.1,5.0,0,5,38.3,9.8,120.0,11.0,9.0
cat,9.7,2.5,1,4,37.6,1.9,126.5,3.0,4.0
dog,2.4,5.7,1,7,38.4,3.7,62.5,6.0,5.0
cat,11.0,6.8,1,10,37.7,6.7,163.5,10.0,6.0
dog,7.3,4.2,1,2,37.3,4.2,114.0,5.0,4.0
dog,3.9,-0.2,1,12,38.6,9.4,106.0,13.0,7.0
cat,5.8,5.4,1,1,38.1,1.6,86.0,3.0,4.0
dog,7.7,5.9,0,1,39.7,5.9,106.5,6.0,9.0
cat,6.2,5.8,1,11,39.2,6.3,113.5,10.0,9.0
dog,7.6,7.5,1,12,39.7,6.9,130.5,11.0,11.0
dog,3.2,2.9,1,1,38.0,3.3,68.5,4.0,4.0
cat,6.5,6.4,1,12,38.6,4.3,106.5,8.0,6.0
cat,1.8,7.4,0,5,36.7,8.6,61.0,10.0,6.0
cat,5.7,1.4,0,10,38.3,2.8,71.0,6.0,4.0
dog,3.3,5.6,1,7,38.6,8.4,95.0,11.0,9.0
cat,3.8,4.0,0,2,38.6,6.1,68.5,7.0,6.0
dog,9.7,4.8,0,10,38.5,7.9,136.5,11.0,8.0
dog,9.3,5.7,1,8,38.5,7.4,150.0,10.0,8.0
cat,7.8,4.0,1,4,36.6,2.9,112.5,4.0,4.0
cat,2.7,3.6,1,12,38.7,6.1,77.5,10.0,6.0
dog,5.1,5.1,1,3,38.8,8.8,115.0,10.0,9.0
dog,9.6,2.8,1,10,39.4,4.9,140.5,8.0,7.0
cat,6.4,2.8,0,11,38.8,9.7,112.5,13.0,9.0
cat,13.0,6.4,1,8,38.4,5.1,175.5,8.0,7.0
cat,7.2,2.7,1,2,39.3,2.3,103.5,3.0,5.0
cat,6.6,6.3,1,11,36.8,4.5,108.5,8.0,4.0
cat,5.1,5.9,0,11,38.1,9.6,99.0,13.0,9.0
dog,6.4,1.5,1,13,38.0,3.9,103.5,8.0,4.0
dog,5.5,3.6,1,3,38.5,8.8,119.0,10.0,8.0
dog,8.1,7.4,1,12,37.0,8.9,145.5,13.0,7.0
dog,8.9,3.0,0,3,39.4,4.2,110.0,5.0,6.0
cat,3.6,4.1,1,10,38.3,1.7,64.5,5.0,4.0
cat,2.0,5.9,1,11,38.7,7.5,77.5,11.0,9.0
cat,0.5,6.6,1,1,38.7,3.8,44.0,4.0,6.0
dog,7.5,4.5,0,6,39.4,8.0,115.0,10.0,10.0
dog,2.7,3.8,1,2,37.2,5.0,72.0,6.0,4.0
cat,-0.5,7.8,1,1,38.6,5.4,42.0,6.0,8.0
cat,7.2,8.5,1,2,39.3,8.0,132.0,9.0,11.0
dog,13.5,7.0,0,12,38.4,4.4,157.0,8.0,6.0
dog,6.0,5.2,1,6,37.8,5.0,105.0,7.0,5.0
cat,8.5,3.4,1,14,38.1,4.4,127.0,9.0,4.0
cat,6.2,3.3,1,4,38.2,4.3,103.5,6.0,4.0
dog,5.7,6.0,0,6,38.0,5.7,85.5,8.0,6.0
cat,8.8,5.8,0,12,38.4,8.3,129.5,12.0,9.0
cat,5.1,7.8,1,9,39.6,4.3,92.5,7.0,9.0
cat,6.8,6.3,0,13,38.1,5.7,96.5,10.0,6.0
dog,7.0,2.0,0,10,38.2,7.0,105.0,10.0,5.0
dog,4.0,7.1,0,12,38.8,3.4,57.0,7.0,7.0
dog,9.0,3.0,1,10,38.4,3.5,127.5,7.0,4.0
dog,5.5,4.2,1,8,37.6,9.4,122.0,12.0,7.0
dog,3.7,5.5,0,1,38.5,7.5,74.5,8.0,8.0
dog,7.6,9.0,0,13,38.4,6.2,107.0,11.0,9.0
dog,3.3,11.2,0,8,39.2,6.8,67.0,9.0,12.0
cat,6.1,6.2,1,9,37.8,1.3,87.5,4.0,4.0
cat,6.0,4.6,1,6,39.2,6.6,113.0,9.0,8.0
cat,9.3,6.1,0,10,38.4,5.6,121.0,9.0,7.0
cat,7.4,6.8,0,5,37.7,5.9,103.5,8.0,6.0
cat,5.9,4.4,0,6,37.6,4.2,80.0,6.0,4.0
cat,8.5,8.6,0,13,39.9,1.7,93.5,6.0,8.0
cat,10.2,5.5,1,6,38.4,2.7,135.5,5.0,4.0
dog,7.7,6.0,0,9,39.2,9.6,125.0,13.0,11.0
dog,6.0,6.3,1,4,37.3,4.7,103.5,6.0,4.0
cat,2.1,5.8,0,2,40.3,5.2,47.0,6.0,10.0
cat,2.8,6.7,0,11,39.1,1.5,35.5,5.0,6.0
dog,5.1,3.8,0,11,38.3,1.3,57.5,5.0,4.0
cat,4.2,3.9,0,9,38.3,7.5,79.5,10.0,7.0
cat,5.4,2.8,0,2,39.0,5.8,83.0,6.0,6.0
dog,6.2,5.9,1,10,39.0,5.6,110.0,9.0,8.0
cat,7.6,6.6,0,9,38.6,3.2,92.0,6.0,6.0
dog,5.8,5.9,0,2,38.5,7.7,96.5,8.0,8.0
cat,7.5,8.3,0,12,38.9,2.5,87.5,6.0,7.0
dog,6.2,5.0,1,8,37.3,2.7,95.5,5.0,4.0
dog,0.1,6.3,1,9,38.2,5.1,46.5,8.0,6.0
dog,3.2,2.8,1,12,37.3,3.6,70.0,8.0,4.0
cat,5.6,4.2,1,10,38.9,3.2,92.0,7.0,5.0
dog,2.4,6.4,0,9,38.0,6.8,58.0,10.0,7.0
cat,7.8,6.7,0,10,37.4,6.9,112.5,10.0,6.0
cat,10.6,4.4,0,9,37.9,8.4,148.0,11.0,7.0
cat,9.7,4.9,1,2,38.6,4.8,141.0,5.0,6.0
cat,5.4,2.0,0,4,38.4,1.7,62.5,3.0,4.0
dog,10.5,4.3,0,7,37.7,3.5,122.5,6.0,4.0
dog,6.4,6.8,1,12,37.3,9.8,133.0,14.0,8.0
cat,5.0,6.2,1,2,38.6,6.4,102.0,7.0,8.0
cat,4.2,6.0,1,1,38.1,7.4,99.0,8.0,7.0
dog,5.1,5.1,0,3,38.3,1.1,56.5,3.0,4.0
cat,4.8,5.0,0,12,38.4,5.7,76.5,10.0,6.0
dog,6.5,3.7,1,4,38.8,1.3,91.5,3.0,4.0
cat,6.5,6.4,0,8,39.1,6.1,95.5,9.0,9.0
cat,6.0,5.8,1,6,38.6,9.3,126.5,11.0,10.0
dog,7.3,6.0,1,11,38.3,9.7,141.5,13.0,9.0
cat,9.6,3.9,0,2,38.5,5.9,125.5,7.0,6.0
dog,8.8,0.7,1,9,38.3,5.1,133.5,8.0,4.0
cat,1.5,7.2,1,14,37.4,9.5,82.5,14.0,8.0
cat,-1.7,4.0,1,2,39.3,7.1,38.5,8.0,9.0
cat,8.8,3.3,0,13,39.1,1.6,96.0,6.0,4.0
dog,1.9,6.4,1,12,39.9,5.2,65.0,9.0,10.0
cat,5.3,4.2,1,5,40.1,3.2,89.0,5.0,8.0
cat,2.5,7.1,1,12,37.7,5.2,71.0,9.0,6.0
cat,0.6,6.2,1,4,38.3,5.1,51.5,6.0,6.0
cat,7.6,6.4,1,13,40.3,6.2,127.0,11.0,11.0
dog,8.3,2.3,1,7,38.5,4.2,124.0,7.0,4.0
dog,4.3,7.4,1,8,38.7,2.5,75.5,5.0,6.0
cat,-1.8,5.5,0,5,37.4,5.5,30.0,7.0,4.0
dog,4.4,4.3,0,10,38.6,8.5,86.5,12.0,8.0
cat,7.2,5.3,1,14,39.9,7.0,127.0,12.0,10.0
cat,1.6,1.4,0,14,39.4,4.0,36.0,9.0,5.0
cat,6.6,5.8,0,5,38.1,9.4,113.0,11.0,9.0
dog,6.0,2.9,1,2,38.2,9.2,126.0,10.0,7.0
dog,7.7,2.3,0,8,37.7,2.9,91.5,6.0,4.0
dog,6.4,2.0,1,14,37.9,1.4,91.0,6.0,4.0
dog,3.1,7.2,1,2,37.2,7.7,89.5,8.0,6.0
dog,9.6,3.7,1,10,38.4,8.4,158.0,12.0,8.0
dog,5.5,8.1,1,12,39.6,9.7,123.5,14.0,13.0
dog,5.9,3.9,1,6,38.7,9.0,124.0,11.0,9.0
dog,3.2,1.6,0,8,39.5,6.4,64.0,9.0,7.0
dog,4.7,2.8,1,6,39.3,5.8,96.0,8.0,7.0
cat,3.3,7.5,0,4,38.1,1.3,39.5,3.0,4.0
dog,5.5,4.7,1,13,38.0,3.2,91.0,8.0,4.0
dog,11.1,3.9,1,4,38.0,5.1,156.5,6.0,5.0
dog,1.9,5.3,1,6,37.3,6.7,72.5,9.0,5.0
dog,1.2,6.0,0,14,38.5,6.0,42.0,11.0,7.0
dog,10.4,7.2,1,13,36.5,7.7,162.5,12.0,5.0
dog,5.4,7.9,1,4,38.9,3.5,91.5,5.0,7.0
dog,4.0,4.3,1,8,38.6,6.1,90.5,9.0,7.0
dog,9.1,2.3,1,9,38.8,1.8,120.0,5.0,4.0
dog,4.2,4.2,0,1,39.2,4.7,65.5,5.0,7.0
dog,11.5,5.5,1,13,38.6,7.8,174.0,12.0,8.0
dog,8.0,3.1,0,4,39.6,7.2,116.0,9.0,9.0
cat,4.5,3.1,1,4,38.9,9.9,114.5,11.0,9.0
cat,12.5,5.7,0,2,38.0,3.5,142.5,4.0,4.0
dog,4.2,4.9,0,6,38.3,5.5,69.5,8.0,6.0
dog,8.2,5.1,1,3,36.9,4.0,122.0,5.0,4.0
cat,6.9,3.5,1,7,37.9,5.0,114.0,7.0,4.0
